Агрегат: 04030002
Точка: П4®
Направление измерений: Произвольное
Замер: ЕФС-У
Дата и время: 30.05.2018 13:49:21
Режим измерений: Основной
Тип замера: Форма сигнала
Тип диапазона: Временной
Выборка: 32768
Единицы: м/с?
Представление величин: ПИК
Усреднения: Линейные
Количество усреднений: 1
ФВЧ (Гц): 500.000000
ФНЧ (Гц): 12800.000000
Период (мс): 1000.000000

мсек	Канал А, м/с?
28.992584	0.849460
29.023103	1.609504
29.053621	2.771923
29.084140	5.186179
29.114658	6.169765
29.145177	6.438015
29.175695	6.762151
29.206214	6.706266
29.236732	4.046113
29.267251	1.207128
29.297769	0.447084
29.328288	-1.095357
29.358806	-4.247302
29.389325	-5.812097
29.419843	-5.320304
29.450362	-3.375487
29.480880	-1.922463
29.511399	-0.983586
29.541917	0.089417
29.572436	2.738392
29.602954	5.387367
29.633473	7.466309
29.663991	8.136936
29.694510	7.086287
29.725028	4.705563
29.755547	0.916523
29.786065	-2.213068
29.816584	-4.828511
29.847102	-7.309830
29.877621	-8.941688
29.908139	-8.259884
29.938658	-3.979051
29.969176	0.368845
29.999695	3.084882
30.030213	5.107939
30.060732	4.884397
30.091250	1.900109
30.121769	-1.967171
30.152287	-4.292010
30.182806	-5.454430
30.213324	-5.990931
30.243843	-5.085585
30.274361	-1.162419
30.304880	3.576675
30.335398	7.332184
30.365917	9.478189
30.396435	10.037045
30.426954	7.175704
30.457472	3.621383
30.487991	0.737689
30.518509	-2.011880
30.549028	-2.861340
30.579546	-1.229482
30.610065	1.207128
30.640584	3.286070
30.671102	4.135530
30.701621	4.470844
30.732139	4.224947
30.762658	2.984288
30.793176	-0.849460
30.823695	-4.828511
30.854213	-7.376892
30.884732	-7.645143
30.915250	-7.913393
30.945769	-7.779268
30.976287	-4.716740
31.006806	1.833046
31.037324	7.935748
31.067843	10.551191
31.098361	10.249410
31.128880	7.242767
31.159398	1.363607
31.189917	-4.917928
31.220435	-9.031104
31.250954	-8.572843
31.281472	-4.113176
31.311991	3.219007
31.342509	10.461775
31.373028	12.160695
31.403546	8.002810
31.434065	3.040174
31.464583	-0.972409
31.495102	-4.627323
31.525620	-6.605672
31.556139	-8.047519
31.586657	-8.382833
31.617176	-8.695791
31.647694	-8.762854
31.678213	-7.242767
31.708731	-3.800217
31.739250	-0.178834
31.769768	4.068468
31.800287	7.600434
31.830805	8.606375
31.861324	5.543846
31.891842	-0.178834
31.922361	-5.812097
31.952879	-9.835856
31.983398	-11.266526
32.013916	-7.913393
32.044435	-1.073003
32.074953	5.722680
32.105472	9.947627
32.135990	12.518363
32.166509	12.093633
32.197027	9.657022
32.227546	5.186179
32.258065	-1.251836
32.288583	-6.907454
32.319102	-8.874625
32.349620	-7.231590
32.380139	-3.129591
32.410657	2.425433
32.441176	7.980456
32.471694	10.953568
32.502213	11.087692
32.532731	9.388772
32.563250	6.180942
32.593768	1.441847
32.624287	-2.101297
32.654805	-3.710800
32.685324	-3.911988
32.715842	-4.012582
32.746361	-2.682506
32.776879	0.100594
32.807398	0.268251
32.837916	-1.654212
32.868435	-3.934343
32.898953	-5.409721
32.929472	-5.499138
32.959990	-3.386664
32.990509	-0.357668
33.021027	2.336016
33.051546	4.672032
33.082064	7.242767
33.112583	8.159290
33.143101	6.549786
33.173620	3.263716
33.204138	0.089417
33.234657	-2.749569
33.265175	-5.141470
33.295694	-6.885099
33.326212	-5.454430
33.356731	-1.609504
33.387249	2.682506
33.417768	4.627323
33.448286	5.365013
33.478805	4.336719
33.509323	1.743629
33.539842	-1.564795
33.570360	-4.325541
33.600879	-6.974516
33.631397	-8.762854
33.661916	-7.678674
33.692434	-3.353133
33.722953	1.721275
33.753471	5.923868
33.783990	8.405187
33.814508	9.366418
33.845027	7.980456
33.875546	4.470844
33.906064	0.536501
33.936583	-1.430670
33.967101	-2.380724
33.997620	-2.224245
34.028138	-1.877754
34.058657	-0.871815
34.089175	0.435907
34.119694	0.804752
34.150212	1.799515
34.180731	2.235422
34.211249	0.536501
34.241768	-1.967171
34.272286	-4.269656
34.302805	-6.471547
34.333323	-8.472249
34.363842	-8.092227
34.394360	-5.610909
34.424879	-2.313662
34.455397	1.318899
34.485916	5.052053
34.516434	8.114581
34.546953	9.031104
34.577471	7.600434
34.607990	3.397841
34.638508	-1.430670
34.669027	-4.001405
34.699545	-3.196653
34.730064	-1.520087
34.760582	0.838283
34.791101	4.023759
34.821619	7.600434
34.852138	8.136936
34.882656	5.923868
34.913175	3.353133
34.943693	0.938877
34.974212	-2.548381
35.004730	-5.454430
35.035249	-5.901514
35.065767	-4.806157
35.096286	-3.934343
35.126804	-1.933640
35.157323	0.447084
35.187841	1.531264
35.218360	0.536501
35.248878	-0.715335
35.279397	-2.928403
35.309915	-4.560261
35.340434	-5.510315
35.370952	-5.577378
35.401471	-4.068468
35.431990	-0.849460
35.462508	2.414256
35.493027	4.493198
35.523545	4.336719
35.554064	2.593089
35.584582	-0.357668
35.615101	-3.643738
35.645619	-5.454430
35.676138	-4.180239
35.706656	-1.833046
35.737175	0.201188
35.767693	2.391901
35.798212	5.812097
35.828730	9.835856
35.859249	13.613719
35.889767	15.077921
35.920286	11.624194
35.950804	5.186179
35.981323	-0.525324
36.011841	-4.068468
36.042360	-7.175704
36.072878	-8.472249
36.103397	-7.511018
36.133915	-4.370250
36.164434	-0.178834
36.194952	3.777863
36.225471	6.795682
36.255989	7.198059
36.286508	4.470844
36.317026	1.564795
36.347545	-1.698921
36.378063	-6.303890
36.408582	-9.835856
36.439100	-8.081050
36.469619	-3.934343
36.500137	0.134125
36.530656	4.560261
36.561174	9.567606
36.591693	10.931213
36.622211	9.008750
36.652730	5.901514
36.683248	1.855400
36.713767	-2.458964
36.744285	-4.269656
36.774804	-2.861340
36.805322	-0.089417
36.835841	2.604267
36.866359	5.052053
36.896878	6.180942
36.927396	6.147410
36.957915	4.828511
36.988433	3.353133
37.018952	0.134125
37.049471	-4.236125
37.079989	-8.181644
37.110508	-9.835856
37.141026	-8.874625
37.171545	-7.332184
37.202063	-5.230887
37.232582	-2.190713
37.263100	0.190011
37.293619	1.520087
37.324137	2.928403
37.354656	3.464904
37.385174	2.235422
37.415693	-0.625918
37.446211	-2.816632
37.476730	-2.637798
37.507248	-0.704158
37.537767	0.950054
37.568285	2.414256
37.598804	4.482021
37.629322	6.125056
37.659841	5.901514
37.690359	4.269656
37.720878	1.833046
37.751396	-0.894169
37.781915	-5.521492
37.812433	-8.304592
37.842952	-7.846331
37.873470	-5.767388
37.903989	-3.420196
37.934507	0.011177
37.965026	3.129591
37.995544	5.186179
38.026063	5.543846
38.056581	4.113176
38.087100	1.341253
38.117618	-1.542441
38.148137	-3.576675
38.178655	-3.911988
38.209174	-3.040174
38.239692	-0.435907
38.270211	1.084180
38.300729	1.531264
38.331248	3.084882
38.361766	5.588555
38.392285	5.029699
38.422803	1.788337
38.453322	-1.564795
