Агрегат: 50
Точка: Точка001®
Направление измерений: Поперечное
Замер: Замер002
Дата и время: 18.10.2018 09:34:03
Режим измерений: Основной
Тип замера: Форма сигнала
Тип диапазона: Временной
Выборка: 256
Единицы: мм/сек
Представление величин: СКЗ
Усреднения: Линейные
Количество усреднений: 1
ФВЧ (Гц): 10.000000
ФНЧ (Гц): 100.000000
Период (мс): 1000.000000

мсек	Канал А, мм/сек
792.156863	8.553922
796.078431	4.848801
800.000000	0.006767
803.921569	-8.188485
807.843137	-5.170250
811.764706	6.300396
815.686275	5.691335
819.607843	2.395639
823.529412	-8.026069
827.450980	-7.795979
831.372549	6.550788
835.294118	6.748733
839.215686	2.084342
843.137255	-6.374837
847.058824	-8.159723
850.980392	4.743907
854.901961	6.564322
858.823529	3.200953
862.745098	-5.061973
866.666667	-10.474154
870.588235	3.468263
874.509804	8.545462
878.431373	3.119745
882.352941	-5.006142
886.274510	-9.824490
890.196078	2.620653
894.117647	7.379787
898.039216	4.128079
901.960784	-2.355035
905.882353	-11.111977
909.803922	-0.350210
913.725490	8.114044
917.647059	4.691461
921.568627	-1.634313
925.490196	-10.178083
929.411765	-2.016668
933.333333	7.120936
937.254902	5.508617
941.176471	0.571840
945.098039	-10.137480
949.019608	-3.904757
952.941176	7.159849
956.862745	5.718405
960.784314	1.272260
964.705882	-9.000566
968.627451	-6.198886
972.549020	6.253025
976.470588	6.420516
980.392157	2.382105
984.313725	-7.613261
988.235294	-7.481297
992.156863	4.994299
996.078431	6.598159
1000.000000	3.480106
