Агрегат: Свободные данные
Дата и время: 06.06.2018 14:05:12
Режим измерений: Основной
Тип замера: Форма сигнала
Тип диапазона: Временной
Выборка: 128K
Единицы: м/с?
Представление величин: ПИК
ФВЧ (Гц): 500.000000
ФНЧ (Гц): 10240.000000
Период (мс): 5000.000000

мсек	Канал А, м/с?
17.738478	0.099901
17.776625	0.094336
17.814772	0.095693
17.852919	0.094811
17.891067	0.075536
17.929214	0.051036
17.967361	0.062234
18.005508	0.073025
18.043656	0.042756
18.081803	0.015134
18.119950	0.023075
18.158098	0.035427
18.196245	0.027758
18.234392	0.013573
18.272539	0.009230
18.310687	0.016831
18.348834	0.043028
18.386981	0.060538
18.425128	0.055991
18.463276	0.081509
18.501423	0.111302
18.539570	0.098000
18.577717	0.083884
18.615865	0.081101
18.654012	0.073093
18.692159	0.079269
18.730306	0.068003
18.768454	0.026875
18.806601	0.002036
18.844748	-0.010044
18.882896	-0.030948
18.921043	-0.063117
18.959190	-0.087277
18.997337	-0.102819
19.035485	-0.111167
19.073632	-0.121347
19.111779	-0.130780
19.149926	-0.122433
19.188074	-0.107773
19.226221	-0.095557
19.264368	-0.090128
19.302515	-0.089110
19.340663	-0.076554
19.378810	-0.058705
19.416957	-0.050018
19.455104	-0.046150
19.493252	-0.039838
19.531399	-0.024297
19.569546	-0.011402
19.607694	-0.006922
19.645841	-0.003801
19.683988	0.007194
19.722135	0.020903
19.760283	0.030269
19.798430	0.033255
19.836577	0.032305
19.874724	0.046218
19.912872	0.058230
19.951019	0.057416
19.989166	0.053615
20.027313	0.052937
20.065461	0.056805
20.103608	0.059112
20.141755	0.053344
20.179902	0.044725
20.218050	0.038277
20.256197	0.033391
20.294344	0.028844
20.332492	0.014999
20.370639	0.008755
20.408786	0.010791
20.446933	0.013031
20.485081	0.012284
20.523228	0.009637
20.561375	0.011402
20.599522	0.016627
20.637670	0.021242
20.675817	0.022803
20.713964	0.020360
20.752111	0.024568
20.790259	0.036377
20.828406	0.034816
20.866553	0.031219
20.904701	0.034205
20.942848	0.040449
20.980995	0.045539
21.019142	0.042078
21.057290	0.037870
21.095437	0.042349
21.133584	0.047507
21.171731	0.045200
21.209879	0.041195
21.248026	0.039092
21.286173	0.043028
21.324320	0.042892
21.362468	0.042078
21.400615	0.035427
21.438762	0.025722
21.476909	0.026400
21.515057	0.026672
21.553204	0.018053
21.591351	0.006447
21.629499	0.003868
21.667646	0.004615
21.705793	-0.002240
21.743940	-0.016220
21.782088	-0.022803
21.820235	-0.019614
21.858382	-0.015270
21.896529	-0.016627
21.934677	-0.020360
21.972824	-0.015270
22.010971	-0.006583
22.049118	-0.003461
22.087266	-0.009773
22.125413	-0.005158
22.163560	0.009976
22.201707	0.022939
22.239855	0.032508
22.278002	0.038141
22.316149	0.046150
22.354297	0.066578
22.392444	0.078319
22.430591	0.088770
22.468738	0.107705
22.506886	0.127862
22.545033	0.147544
22.583180	0.157724
22.621327	0.184056
22.659475	0.208760
22.697622	0.202584
22.735769	0.177609
22.773916	0.145440
22.812064	0.125962
22.850211	0.106348
22.888358	0.084631
22.926505	0.084291
22.964653	0.085920
23.002800	0.072890
23.040947	0.067732
23.079095	0.063320
23.117242	0.046693
23.155389	0.007194
23.193536	-0.019614
23.231684	-0.047371
23.269831	-0.092843
23.307978	-0.104244
23.346125	-0.169872
23.384273	-0.273845
23.422420	-0.313819
23.460567	-0.371913
23.498714	-0.436591
23.536862	-0.451182
23.575009	-0.461159
23.613156	-0.420777
23.651303	-0.363769
23.689451	-0.305132
23.727598	-0.217175
23.765745	-0.133224
23.803893	-0.048050
23.842040	0.006108
23.880187	0.041806
23.918334	0.092707
23.956482	0.117071
23.994629	0.130712
24.032776	0.142250
24.070923	0.132409
24.109071	0.142861
24.147218	0.165868
24.185365	0.163492
24.223512	0.141707
24.261660	0.162814
24.299807	0.226948
24.337954	0.223012
24.376102	0.207878
24.414249	0.226677
24.452396	0.137906
24.490543	-0.022668
24.528691	-0.132613
24.566838	-0.187721
24.604985	-0.219890
24.643132	-0.281107
24.681280	-0.327324
24.719427	-0.314972
24.757574	-0.297598
24.795721	-0.285586
24.833869	-0.271537
24.872016	-0.241540
24.910163	-0.206724
24.948310	-0.186499
24.986458	-0.167293
25.024605	-0.132952
25.062752	-0.103973
25.100900	-0.091214
25.139047	-0.076894
25.177194	-0.054973
25.215341	-0.034477
25.253489	-0.021039
